head,rel,tail,score,in,head_ent,rel_ent,tail_ent,uid,head_id,tail_id
19248,3,41349,63.45577621459961,True,Obinutuzumab:drug,indication,mantle cell lymphoma:disease,D020522:38669626:MuA8qVqnESVsFW6rxGEqD4,kg4rd:DB08935,kg4rd:18876
18106,3,41349,63.44615173339844,False,Panobinostat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06603,kg4rd:18876
17693,3,41349,63.302276611328125,False,Dasatinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01254,kg4rd:18876
18340,3,41349,63.25934600830078,False,Vindesine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00309,kg4rd:18876
17981,3,41349,63.17179870605469,True,Pirtobrutinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB17472,kg4rd:18876
17819,3,41349,63.12434768676758,False,Procarbazine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01168,kg4rd:18876
17333,3,41349,63.097442626953125,False,Pexidartinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12978,kg4rd:18876
20339,3,41349,62.953956604003906,False,Alectinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11363,kg4rd:18876
17987,3,41349,62.83010482788086,True,Bortezomib:drug,indication,mantle cell lymphoma:disease,D020522:35639332:WyX7w5jXsSTpSKNLHPRGFq,kg4rd:DB00188,kg4rd:18876
23287,3,41349,62.80708694458008,False,Carfilzomib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08889,kg4rd:18876
23742,3,41349,62.75382995605469,False,Pembrolizumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09037,kg4rd:18876
18643,3,41349,62.73629379272461,False,Ivosidenib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14568,kg4rd:18876
21647,3,41349,62.67554473876953,False,Ipilimumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06186,kg4rd:18876
17295,3,41349,62.57813262939453,False,Vinflunine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11641,kg4rd:18876
18000,3,41349,62.532470703125,False,Vinorelbine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00361,kg4rd:18876
17637,3,41349,62.4404182434082,False,Chlorambucil:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00291,kg4rd:18876
17929,3,41349,62.39789962768555,False,Idelalisib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09054,kg4rd:18876
17062,3,41349,62.287261962890625,False,Sirolimus:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00877,kg4rd:18876
17504,3,41349,62.26038360595703,False,Trabectedin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05109,kg4rd:18876
23964,3,41349,61.84141540527344,False,Volasertib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12062,kg4rd:18876
24729,3,41349,61.820701599121094,False,Uracil mustard:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00791,kg4rd:18876
17249,3,41349,61.79208755493164,False,Dabrafenib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08912,kg4rd:18876
17261,3,41349,61.62824249267578,False,Nintedanib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09079,kg4rd:18876
17943,3,41349,61.571495056152344,False,Icotinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11737,kg4rd:18876
17634,3,41349,61.54428482055664,False,Curcumin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11672,kg4rd:18876
17310,3,41349,61.50530242919922,False,Neratinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11828,kg4rd:18876
18577,3,41349,61.23663330078125,False,Lorvotuzumab mertansine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12089,kg4rd:18876
22974,3,41349,61.05913543701172,True,Talazoparib:drug,indication,mantle cell lymphoma:disease,D020522:40009753:QPLRicbqHMXhZenUwHG475,kg4rd:DB11760,kg4rd:18876
17612,3,41349,61.03034973144531,False,Decitabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01262,kg4rd:18876
18045,3,41349,60.92332458496094,False,Bicalutamide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01128,kg4rd:18876
