head,rel,tail,score,in,head_ent,rel_ent,tail_ent,uid,head_id,tail_id
17313,3,41349,-14.085426330566406,False,Apalutamide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11901,kg4rd:18876
18340,3,41349,-14.086962699890137,False,Vindesine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00309,kg4rd:18876
22399,3,41349,-14.08879566192627,False,Triptolide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12025,kg4rd:18876
17500,3,41349,-14.091362953186035,False,Ifosfamide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01181,kg4rd:18876
18558,3,41349,-14.099592208862305,False,Voclosporin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11693,kg4rd:18876
17243,3,41349,-14.103171348571777,False,Ruxolitinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08877,kg4rd:18876
17295,3,41349,-14.104164123535156,False,Vinflunine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11641,kg4rd:18876
20862,3,41349,-14.113075256347656,False,Pravastatin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00175,kg4rd:18876
18715,3,41349,-14.117286682128906,False,Cladribine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00242,kg4rd:18876
17772,3,41349,-14.121206283569336,False,Thiotepa:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB04572,kg4rd:18876
17171,3,41349,-14.129569053649902,False,Lopinavir:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01601,kg4rd:18876
18482,3,41349,-14.129932403564453,False,Ambroxol:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06742,kg4rd:18876
17862,3,41349,-14.138093948364258,False,Simvastatin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00641,kg4rd:18876
17317,3,41349,-14.148149490356445,False,Glasdegib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11978,kg4rd:18876
17904,3,41349,-14.151158332824707,False,Trastuzumab emtansine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05773,kg4rd:18876
17498,3,41349,-14.153909683227539,False,Thalidomide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01041,kg4rd:18876
17535,3,41349,-14.163843154907227,False,Capsaicin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06774,kg4rd:18876
17058,3,41349,-14.164067268371582,False,Temozolomide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00853,kg4rd:18876
17360,3,41349,-14.187975883483887,False,Ripretinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14840,kg4rd:18876
18582,3,41349,-14.18942642211914,False,Capivasertib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12218,kg4rd:18876
25441,3,41349,-14.193404197692871,False,"Rabies immune globulin, human:drug",indication,mantle cell lymphoma:disease,,kg4rd:DB11603,kg4rd:18876
24943,3,41349,-14.194031715393066,False,Dinutuximab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09077,kg4rd:18876
18513,3,41349,-14.197746276855469,False,Ceritinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09063,kg4rd:18876
20254,3,41349,-14.2095365524292,False,Fludarabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01073,kg4rd:18876
21292,3,41349,-14.210177421569824,False,Rindopepimut:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05374,kg4rd:18876
21113,3,41349,-14.215782165527344,False,Trichostatin A:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB04297,kg4rd:18876
16813,3,41349,-14.216958045959473,False,Cortisone acetate:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01380,kg4rd:18876
17853,3,41349,-14.219260215759277,False,Haloperidol:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00502,kg4rd:18876
17926,3,41349,-14.220366477966309,False,Ponatinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08901,kg4rd:18876
18650,3,41349,-14.22634220123291,False,Etrasimod:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14766,kg4rd:18876
18125,3,41349,-14.23228645324707,False,Eliglustat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09039,kg4rd:18876
17002,3,41349,-14.24366569519043,False,Linezolid:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00601,kg4rd:18876
18680,3,41349,-14.248970031738281,False,Filgotinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14845,kg4rd:18876
17079,3,41349,-14.250490188598633,False,Methylprednisolone:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00959,kg4rd:18876
17316,3,41349,-14.254390716552734,False,Binimetinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11967,kg4rd:18876
18293,3,41349,-14.255605697631836,False,Pacritinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11697,kg4rd:18876
18164,3,41349,-14.265056610107422,False,Remdesivir:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14761,kg4rd:18876
17249,3,41349,-14.267233848571777,False,Dabrafenib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08912,kg4rd:18876
17553,3,41349,-14.267532348632812,False,Aldesleukin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00041,kg4rd:18876
25159,3,41349,-14.271788597106934,False,GI-5005:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05942,kg4rd:18876
25145,3,41349,-14.273872375488281,False,INGN 225:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05325,kg4rd:18876
17068,3,41349,-14.275439262390137,False,Quinidine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00908,kg4rd:18876
17857,3,41349,-14.276083946228027,False,Carbamazepine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00564,kg4rd:18876
16981,3,41349,-14.281023025512695,False,Ritonavir:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00503,kg4rd:18876
16984,3,41349,-14.281892776489258,False,Oxaliplatin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00526,kg4rd:18876
20881,3,41349,-14.28806209564209,False,Vedolizumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09033,kg4rd:18876
17632,3,41349,-14.293046951293945,False,Carboplatin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00958,kg4rd:18876
16821,3,41349,-14.293630599975586,False,Hydrocortisone acetate:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14539,kg4rd:18876
17307,3,41349,-14.305719375610352,False,Tivozanib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11800,kg4rd:18876
18594,3,41349,-14.306659698486328,False,Oxetacaine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12532,kg4rd:18876
17532,3,41349,-14.313526153564453,False,Propylthiouracil:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00550,kg4rd:18876
17504,3,41349,-14.319318771362305,False,Trabectedin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05109,kg4rd:18876
18515,3,41349,-14.320963859558105,False,Ivabradine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09083,kg4rd:18876
17320,3,41349,-14.324115753173828,False,Gilteritinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12141,kg4rd:18876
16842,3,41349,-14.324982643127441,False,Liotrix:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01583,kg4rd:18876
17996,3,41349,-14.326316833496094,False,Bupivacaine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00297,kg4rd:18876
17099,3,41349,-14.329730033874512,False,Melphalan:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01042,kg4rd:18876
18252,3,41349,-14.3311767578125,False,Interferon alfa:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05258,kg4rd:18876
25538,3,41349,-14.331338882446289,False,Bacillus calmette-guerin substrain danish 1331 live antigen:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12386,kg4rd:18876
18045,3,41349,-14.333209991455078,False,Bicalutamide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01128,kg4rd:18876
17101,3,41349,-14.334006309509277,False,Rifampin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01045,kg4rd:18876
18137,3,41349,-14.334857940673828,False,Ixazomib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09570,kg4rd:18876
18336,3,41349,-14.33491325378418,False,Cabergoline:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00248,kg4rd:18876
18301,3,41349,-14.337078094482422,False,Givinostat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12645,kg4rd:18876
18027,3,41349,-14.339571952819824,False,Methimazole:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00763,kg4rd:18876
21110,3,41349,-14.339676856994629,False,Etanercept:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00005,kg4rd:18876
17421,3,41349,-14.342113494873047,False,Ropivacaine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00296,kg4rd:18876
17085,3,41349,-14.344527244567871,False,Azathioprine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00993,kg4rd:18876
26151,3,41349,-14.345148086547852,False,"Tick-borne encephalitis vaccine (whole virus, inactivated):drug",indication,mantle cell lymphoma:disease,,kg4rd:DB16611,kg4rd:18876
17359,3,41349,-14.345359802246094,False,Dexamethasone acetate:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14649,kg4rd:18876
19247,3,41349,-14.346901893615723,False,Ofatumumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06650,kg4rd:18876
25320,3,41349,-14.354084014892578,False,Influenza A virus A/California/7/2009 X-181 (H1N1) antigen (propiolactone inactivated):drug,indication,mantle cell lymphoma:disease,,kg4rd:DB10600,kg4rd:18876
18343,3,41349,-14.359952926635742,False,Pimecrolimus:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00337,kg4rd:18876
26118,3,41349,-14.363218307495117,False,Moderna COVID-19 Vaccine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB15654,kg4rd:18876
18004,3,41349,-14.364596366882324,False,Mexiletine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00379,kg4rd:18876
17007,3,41349,-14.371509552001953,False,Imatinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00619,kg4rd:18876
17311,3,41349,-14.372119903564453,False,Relugolix:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11853,kg4rd:18876
22030,3,41349,-14.373076438903809,False,Belimumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08879,kg4rd:18876
24717,3,41349,-14.380535125732422,False,Altretamine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00488,kg4rd:18876
21112,3,41349,-14.383024215698242,False,Infliximab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00065,kg4rd:18876
21017,3,41349,-14.387750625610352,False,Carmustine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00262,kg4rd:18876
21579,3,41349,-14.388126373291016,False,Eculizumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01257,kg4rd:18876
18049,3,41349,-14.392073631286621,False,Idarubicin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01177,kg4rd:18876
17864,3,41349,-14.393445014953613,False,Mycophenolate mofetil:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00688,kg4rd:18876
17983,3,41349,-14.39633560180664,False,Fluvoxamine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00176,kg4rd:18876
18294,3,41349,-14.396812438964844,False,Momelotinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11763,kg4rd:18876
24629,3,41349,-14.399596214294434,False,L-Acetylleucine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB16956,kg4rd:18876
17630,3,41349,-14.401634216308594,False,Daunorubicin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00694,kg4rd:18876
16796,3,41349,-14.403336524963379,False,Beclomethasone dipropionate:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00394,kg4rd:18876
